state,lga,latitude,longitude,season,rainfall_mm,elevation_m,river_distance_km,soil_type,drainage,risk_score,risk_class
Ogun,Abeokuta South,7.147839,3.347406,dry,54.8,67.04,9.431,clay,basic,0.5786,High
Ogun,Abeokuta South,7.146787,3.347947,wet,195.8,67.46,9.55,clay,basic,0.6457,Critical
Ogun,Abeokuta South,7.139833,3.34705,dry,61.9,67.08,9.974,clay,basic,0.5755,High
Ogun,Abeokuta South,7.171073,3.38121,dry,57.4,68.57,11.62,clay,basic,0.5521,High
Ogun,Abeokuta South,7.166021,3.354486,wet,211.6,68.92,9.044,clay,basic,0.6581,High
Ogun,Abeokuta South,7.16271,3.334967,wet,203.7,68.38,7.346,sandy,basic,0.5761,High
Ogun,Abeokuta South,7.137972,3.361277,dry,60.5,67.98,11.313,clay,basic,0.5579,High
Ogun,Abeokuta South,7.169188,3.359237,wet,224.7,68.01,9.389,clay,basic,0.6612,Critical
Ogun,Abeokuta South,7.138475,3.323544,wet,204.5,67.07,8.359,clay,basic,0.6646,High
Ogun,Abeokuta South,7.178719,3.339233,dry,62.6,67.55,6.95,clay,basic,0.6117,High
Ogun,Abeokuta South,7.150408,3.369253,dry,59.6,66.96,11.286,clay,basic,0.5587,High
Ogun,Abeokuta South,7.161293,3.363363,wet,199.8,67.74,10.154,clay,basic,0.6401,High
Ogun,Abeokuta South,7.134873,3.363376,dry,62.4,61.76,11.707,clay,basic,0.5599,High
Ogun,Abeokuta South,7.138499,3.347279,dry,58.3,68.63,10.093,clay,basic,0.5708,High
Ogun,Abeokuta South,7.148515,3.367614,wet,213.8,66.05,11.234,clay,basic,0.6356,High
Ogun,Abeokuta South,7.15458,3.363775,wet,210.9,63.63,10.532,loamy,basic,0.5733,High
Ogun,Abeokuta South,7.160869,3.359209,dry,59.5,67.1,9.762,silty,basic,0.5383,High
Ogun,Abeokuta South,7.168326,3.347449,wet,211.5,68.57,8.232,clay,basic,0.6681,Critical
Ogun,Abeokuta South,7.140835,3.354806,wet,215.2,66.53,10.554,clay,basic,0.644,High
Ogun,Abeokuta South,7.139199,3.353398,wet,201.9,65.6,10.549,clay,none,0.6909,Critical
Ogun,Abeokuta South,7.154298,3.382292,dry,60.5,68.33,12.377,clay,good,0.4623,High
Ogun,Abeokuta South,7.150747,3.366961,dry,58.1,67.33,11.047,clay,basic,0.5605,High
Ogun,Abeokuta South,7.147058,3.327755,wet,219.0,70.0,7.9,sandy,good,0.4929,High
Ogun,Abeokuta South,7.15608,3.357366,dry,58.2,67.01,9.834,clay,basic,0.5754,Critical
Ogun,Abeokuta South,7.204219,3.367839,wet,220.5,71.48,9.701,clay,basic,0.6522,High
Ogun,Abeokuta South,7.15343,3.364795,wet,206.7,67.07,10.693,clay,basic,0.6376,High
Ogun,Abeokuta South,7.144911,3.372601,dry,63.5,67.94,11.912,clay,basic,0.5522,High
Ogun,Abeokuta South,7.149935,3.344854,dry,55.4,63.09,9.066,clay,basic,0.5869,High
Ogun,Abeokuta South,7.155114,3.352349,wet,212.1,63.08,9.414,clay,none,0.7119,Critical
Ogun,Abeokuta South,7.132645,3.359651,dry,61.0,68.24,11.546,clay,basic,0.5551,High
Ogun,Abeokuta South,7.144015,3.338834,dry,53.9,71.23,8.994,clay,basic,0.5794,High
Ogun,Abeokuta South,7.165074,3.360949,dry,54.5,68.25,9.738,clay,basic,0.5736,High
Ogun,Abeokuta South,7.132621,3.357111,dry,60.3,62.49,11.336,loamy,basic,0.4911,Medium
Ogun,Abeokuta South,7.174484,3.368646,dry,59.3,67.71,10.183,clay,basic,0.5711,High
Ogun,Abeokuta South,7.147954,3.340087,dry,62.9,65.48,8.8,silty,basic,0.553,High
Ogun,Abeokuta South,7.162998,3.353696,wet,217.2,65.98,9.112,clay,basic,0.6628,High
Ogun,Abeokuta South,7.155922,3.35036,wet,212.5,63.36,9.18,sandy,moderate,0.5181,High
Ogun,Abeokuta South,7.171541,3.334138,wet,202.5,68.11,6.759,silty,basic,0.6433,High
Ogun,Abeokuta South,7.149888,3.315792,wet,219.3,70.61,6.829,clay,moderate,0.6419,High
Ogun,Abeokuta South,7.153123,3.334867,wet,198.2,66.63,7.988,clay,basic,0.6664,Critical
Ogun,Abeokuta North,7.204761,3.357213,dry,62.5,47.83,8.534,loamy,moderate,0.4945,High
Ogun,Abeokuta North,7.190262,3.33722,wet,214.2,51.58,6.405,loamy,moderate,0.5907,High
Ogun,Abeokuta North,7.165414,3.321991,wet,212.4,51.11,6.021,loamy,good,0.5574,High
Ogun,Abeokuta North,7.185091,3.351735,dry,57.7,48.12,8.086,loamy,moderate,0.4973,Medium
Ogun,Abeokuta North,7.199777,3.329156,wet,214.9,49.5,5.423,loamy,moderate,0.6048,High
Ogun,Abeokuta North,7.213821,3.31047,dry,57.1,47.04,3.696,loamy,moderate,0.5507,High
Ogun,Abeokuta North,7.207927,3.350717,dry,60.0,48.1,7.851,loamy,moderate,0.5012,Medium
Ogun,Abeokuta North,7.212336,3.330031,dry,57.0,50.61,5.687,loamy,moderate,0.5234,Medium
Ogun,Abeokuta North,7.173413,3.32813,wet,214.9,49.11,6.077,loamy,basic,0.6423,High
Ogun,Abeokuta North,7.195011,3.320534,wet,224.5,50.37,4.506,loamy,moderate,0.6197,High
Ogun,Abeokuta North,7.16995,3.338645,wet,207.0,49.61,7.282,clay,moderate,0.65,High
Ogun,Abeokuta North,7.219971,3.305995,dry,60.8,50.7,3.627,loamy,moderate,0.5499,High
Ogun,Abeokuta North,7.206627,3.326218,wet,224.6,50.94,5.152,loamy,moderate,0.6114,High
Ogun,Abeokuta North,7.216035,3.316975,dry,62.8,51.22,4.452,loamy,moderate,0.5405,Medium
